ElementName,DataType,Length,Decimals,TextLabel
POS_PRICING_DIRECT,CHAR,000001,000000,Upload prices direct
PS_ALLACC,CHAR,000001,000000,All acct asst elem
PS_CLPRALL,CHAR,000001,000000,Classify all WBS elm
PS_CLPRFAK,CHAR,000001,000000,Classify billing elm
PS_CLPRKNT,CHAR,000001,000000,Classify AA elements
PS_FLG_GRP,CHAR,000001,000000,Grouping
PS_FLG_ORG,CHAR,000001,000000,Original width
PS_FLG_PWT,CHAR,000001,000000,Percentage values
PS_FLG_SRA,CHAR,000001,000000,Sort descending
PS_H_ACT,CHAR,000001,000000,Activity represent.
PS_MSGTY,CHAR,000001,000000,Checking WBS activty
PS_PFFREI,CHAR,000001,000000,Show free buffer
QABW_CODES,CHAR,000001,000000,Deviating codes
QKZ_REF_EE,CHAR,000001,000000,Reference type
QPARA,CHAR,000001,000000,Parameter Charac
QSTPREINS,CHAR,000001,000000,Sum.recording n=1
QTOLSOLL,CHAR,000001,000000,TrgtValDepSpecLimits
QVORGAEND,CHAR,000001,000000,Specs can be changed
SDEQT,CHAR,000001,000000,Serial relevance
SDUNKEL,CHAR,000001,000000,Object list backgd
SIMULCON,CHAR,000001,000000,Simulation possible
SSTFL,CHAR,000001,000000,Sim. plant stock
TC_RELEASED,CHAR,000001,000000,Release for Document
TERHW,CHAR,000001,000000,Scheduling note
VSFLG_OF,CHAR,000001,000000,Prod.resource/tool
VVJSTOCK,CHAR,000001,000000,Relevant to PRF
X2FDO,CHAR,000001,000000,Two FI documents
XBUFX,CHAR,000001,000000,Freeze book inv.SLoc
XLONG,CHAR,000001,000000,Neg.stocks in SLoc.
ABRV,CHAR,000001,000000,SETR Default
BEZZT_ORD,CHAR,000001,000000,Reference time
BORGR_AUTO_LEN,CHAR,000001,000000,Aut. loading end
BORGR_AUTO_REG,CHAR,000001,000000,Aut. registration
BORGR_EXID_ERRDIA,CHAR,000001,000000,Online error type
BORGR_EXID_ERREDI,CHAR,000001,000000,Error type for EDI
BORGR_EXID_MUST,CHAR,000001,000000,Required entry
BORGR_EXID_UNIQUE,CHAR,000001,000000,External ID unique
BORGR_HUCKZ,CHAR,000001,000000,Ind.: Inspect HU
BUIA,CHAR,000001,000000,Set in process
CHMAX,CHAR,000001,000000,Check max. lot size
CHMIN,CHAR,000001,000000,Check min. lot size
CO_ALT_SEQ,CHAR,000001,000000,Altern. sequences
CO_CHGKZ_C,CHAR,000001,000000,MatStatusChangeDocmt
CO_CHGKZ_H,CHAR,000001,000000,HeaderStatusChngeDoc
CO_CHGKZ_O,CHAR,000001,000000,OperStatusChangeDoc
CO_CHGKZ_P,CHAR,000001,000000,PRT StatusChangeDoc
CO_DPROBC,CHAR,000001,000000,Component check
CO_DPROBO,CHAR,000001,000000,Operation dtl check
CO_FLGSTAT,CHAR,000001,000000,Statistical order
CO_FLG_DOC,CHAR,000001,000000,Change documents
CO_PLTRM,CHAR,000001,000000,CopyPlannedOrdSchedg
CO_PRUEB,CHAR,000001,000000,Net Order Price
CO_SEQ_CHG,CHAR,000001,000000,Sequence exchange
CO_STAUF,CHAR,000001,000000,BOM selection key
CO_WEAE,CHAR,000001,000000,GR can be changed
CRES_BOTTLENECK,CHAR,000001,000000,Bottleneck Resource
CY_KAPTERM,CHAR,000001,000000,Finite scheduling
CY_TBSTKZ,CHAR,000001,000000,Confirm capacity
DETDELDATE,CHAR,000001,000000,Del.date determined
DMS_ACM_ENABLE_OBJECT_LINKS,CHAR,000001,000000,Display Object Links
DMS_ACM_USE,CHAR,000001,000000,Use ACM
DMS_CHECKIN_FLAG,CHAR,000001,000000,Check in
DMS_KPRO_USE,CHAR,000001,000000,Use KPro
ILOM_ACTIV,CHAR,000001,000000,Active setting
ILOM_ALCNV,CHAR,000001,000000,All locations conv.
ILOM_CNVRT,CHAR,000001,000000,Alt. label active
ILOM_UNIKY,CHAR,000001,000000,Indicator "unique"
IND_CALL_UPDATE,CHAR,000001,000000,Adapting Basic Dates
ERZEUG_ART,CHAR,000001,000000,Creation type
KAPAO,CHAR,000001,000000,Reservation by PM
KFPKZ,CHAR,000001,000000,PeriodInd. Lg-trmPlg
KRUST,CHAR,000001,000000,No prov.f. ac.income
LEIN_WESTA,CHAR,000001,000000,GR Status
LGTER,CHAR,000001,000000,Scheduling
LGUEL,CHAR,000001,000000,Overlapping
LMBMV,CHAR,000001,000000,Under/Overdelivery
LNGTXT,CHAR,000001,000000,Long Text
LVS_DIRTA,CHAR,000001,000000,Auto. TO Creation
MANRU,CHAR,000001,000000,Manual accruals
MATEXIT,CHAR,000001,000000,User exit-mat. comp.
MAVER,CHAR,000001,000000,Payment procedure
MD_BADI,CHAR,000001,000000,Change via BAdI
MD_UMLDB,CHAR,000001,000000,Ind. Stock Transfer
FLG_CHK_RE,CHAR,000001,000000,Red. inspect. scope
PROJCHGKZ,CHAR,000001,000000,Change documents
PS_ACT_ALLOC,CHAR,000001,000000,Adjust netw. assgnmt
PS_CUSTOM,CHAR,000001,000000,Not Changeable
PS_INACT,CHAR,000001,000000,inactive
PS_PPTCST,CHAR,000001,000000,Customizing only
PS_PPTPCT,CHAR,000001,000000,From last processor
PS_PROTECT,CHAR,000001,000000,Protected
PS_VORPL,CHAR,000001,000000,Planning
REWORK,CHAR,000001,000000,Rework
ROUTE_VLF,CHAR,000001,000000,Route from delivery
RSORD,CHAR,000001,000000,Refurbishment order
RTP01,CHAR,000001,000000,Repet. Manufacturing
RTP02,CHAR,000001,000000,Kanban
RTP03,CHAR,000001,000000,Sales order stock
RTP04,CHAR,000001,000000,External PPC
RU_XALLP,CHAR,000001,000000,All items
SCEND_ACT,CHAR,000001,000000,Purch. req. at fin.
SDKNZ,CHAR,000001,000000,Sales equipment
SDUPD,CHAR,000001,000000,No update
SERV_FLG,CHAR,000001,000000,Service
SHENQ,CHAR,000001,000000,Shared lock only
SPEDI_VLF,CHAR,000001,000000,Frwd. agent delivery
T333_VEPST,CHAR,000001,000000,Packaging control
TDIIX,CHAR,000001,000000,Rel.for transport
TDIIX_LIEF,CHAR,000001,000000,Rel.for transport
TRMFL,CHAR,000001,000000,Scheduling
UMERL,CHAR,000001,000000,Stock trns allowed
VKOBL,CHAR,000001,000000,Pricing rel. on/off
VSFLG_CO,CHAR,000001,000000,Costs
VSFLG_DK,CHAR,000001,000000,Documents
VSFLG_EL,CHAR,000001,000000,Element
VSFLG_EV,CHAR,000001,000000,Earned value
VSFLG_KB,CHAR,000001,000000,Capacity Requirement
VSFLG_LT,CHAR,000001,000000,Long text
VSFLG_MS,CHAR,000001,000000,Milestone
VSFLG_NP,CHAR,000001,000000,Network
VSFLG_NR,CHAR,000001,000000,Relationship
VSFLG_NV,CHAR,000001,000000,Network activity
VSFLG_OK,CHAR,000001,000000,Component
VSFLG_PD,CHAR,000001,000000,Project definition
VSFLG_PH,CHAR,000001,000000,Placeholder
VSFLG_PR,CHAR,000001,000000,WBS element
VSFLG_SD,CHAR,000001,000000,Sales order
VSFLG_TX,CHAR,000001,000000,PS text
W_AUT_LVF,CHAR,000001,000000,For Profile Change
W_LP_MAT,CHAR,000001,000000,Mat. w/o astmt grade
W_LP_WAGRU,CHAR,000001,000000,MatGrp without AstGd
W_LV_NLIF,CHAR,000001,000000,ListDCWarehousePrmnt
W_LV_WRF1,CHAR,000001,000000,AssortmentListgProc.
W_MPROT,CHAR,000001,000000,Log: mat. segments
W_MPROT_N,CHAR,000001,000000,Log again
W_PFOLGE,CHAR,000001,000000,Sequence control
W_ZSTAT,CHAR,000001,000000,Asgn. to assortments
XBBBA,CHAR,000001,000000,Purchase requisition
XBBBF,CHAR,000001,000000,Inventory management
XBBKO,CHAR,000001,000000,Contract
XBEAU,CHAR,000001,000000,Automatic PO
XBNSB,CHAR,000001,000000,Del. costs separate
XHUPF,CHAR,000001,000000,HU reqmnt
XLBPD,CHAR,000001,000000,PrDiff. GR SC
XNEBE,CHAR,000001,000000,Automatic PO
XWSBR,CHAR,000001,000000,RevGR despite IR
AAGEN,CHAR,000001,000000,Create Inb. Delivery
ABWDT,CHAR,000001,000000,Different val.period
ACENQ,CHAR,000001,000000,Block with TrOfQties
AENBL,CHAR,000001,000000,Change Documents
AKTKO,CHAR,000001,000000,Promotion Condition
ALW_SW,CHAR,000001,000000,Route sched. active
AUF_SHIFT,CHAR,000001,000000,Shift order
CHHPV,CHAR,000001,000000,Pack acc. batch itms
CN_COSTUPD,CHAR,000001,000000,Update costs
CN_CRREQ,CHAR,000001,000000,Purc. req in network
CN_PRLIM,CHAR,000001,000000,Preliminary reqmnts
CN_TPART,CHAR,000001,000000,Third-party order
CN_UPD_ONLY,CHAR,000001,000000,Update costs
CO_OFORD,CHAR,000001,000000,Only open orders
CR_VWKALK,CHAR,000001,000000,Allowed for costing
CR_VWKAPA,CHAR,000001,000000,WrkCntr for reqmts
CR_VWKAPF,CHAR,000001,000000,PRT allowed for rqmt
CR_VWTER,CHAR,000001,000000,Allowed for schedulg
DATKT,CHAR,000001,000000,Transfer header text
DATPT,CHAR,000001,000000,Transfer item texts
IDXAK,CHAR,000001,000000,Condition index act.
ILOM_ACTVS,CHAR,000001,000000,Active version
I_SERVAUF,CHAR,000001,000000,Service
J_1BTXICEX,CHAR,000001,000000,ICMS-exempt
J_1BTXIPEX,CHAR,000001,000000,IPI-exempt
KAP_BESCHR,CHAR,000001,000000,Capacity limitation
KONAB,CHAR,000001,000000,Derive acct. assgt.
KONFKNZ,CHAR,000001,000000,Configuration
KZPRC,CHAR,000001,000000,Material f. process
LGSPL,CHAR,000001,000000,Splitting quota
LVS_KZBEF,CHAR,000001,000000,Invent.Mgmt active
MAXBD_KZ,CHAR,000001,000000,Capacity committed
MENG1,CHAR,000001,000000,Order qty = 1
FIXEL,CHAR,000001,000000,Include firm recpts
FLG_DOC,CHAR,000001,000000,Change documents
FLG_ERF_OP,CHAR,000001,000000,Ind: TCA60/62 Op.
FLG_PR_REL,CHAR,000001,000000,Print When Released
FLG_REL_CR,CHAR,000001,000000,Release at Opening
FLG_TM_REL,CHAR,000001,000000,Sched. Upon Release
MM4X_PP,CHAR,000001,000000,Matl maint. with PP
FOA_ART,CHAR,000001,000000,Foll-On item/mat.ref
MPCONFIRMDATE,CHAR,000001,000000,Completion Data
MPCONTRACT,CHAR,000001,000000,From outl. agreement
MPNMTART,CHAR,000001,000000,Manufacturer part
MP_FLG_OTX,CHAR,000001,000000,Object text
MP_PROTECT,CHAR,000001,000000,Protected
MRUAF,CHAR,000001,000000,Reverse accruals
MULTICON,CHAR,000001,000000,Multiple selection
FRHSPTLG,CHAR,000001,000000,Show total float
NOTDAT,CHAR,000001,000000,Notification data
NO_SER_ENQ,CHAR,000001,000000,No block
NPCUR,CHAR,000001,000000,No exchange rates
NPCUS,CHAR,000001,000000,No customer data
NPFOA,CHAR,000001,000000,No follow-on items
NPMAT,CHAR,000001,000000,Do not prepare mat.
NPMEC,CHAR,000001,000000,No mat. group data
NPSET,CHAR,000001,000000,Do not prepare sets
NPTAX,CHAR,000001,000000,Do not prepare taxes
OBLIGCON,CHAR,000001,000000,Check
OCM_CH_PROC,CHAR,000001,000000,Change process type
PDC_ACTIVE,CHAR,000001,000000,PDC active
PHFLG,CHAR,000001,000000,Indicator: Phase
PKSTK_VTTK,CHAR,000001,000000,Handling units
POSAKTFIND,CHAR,000001,000000,Promo determination
POSARTANZ,CHAR,000001,000000,Display material
POSFLISTVK,CHAR,000001,000000,Update statistics
POSPRDRUCK,CHAR,000001,000000,Print price
PRIO_ORDER_TYPE,CHAR,000001,000000,Prio. DocTpe f. STO
PS_ANZHGR,CHAR,000001,000000,Displ. horiz. line
PS_ANZVGR,CHAR,000001,000000,Displ. vertical line
PS_ECTRM,CHAR,000001,000000,Basic Date
PS_FLGSD,CHAR,000001,000000,SD/PS assignmnt
PS_MSTEA,CHAR,000001,000000,Show milestone
PS_PRTYP,CHAR,000001,000000,Checking type
PS_RELATEA,CHAR,000001,000000,Show relationship
PS_VRELMEA,CHAR,000001,000000,Show activity elemnt
PS_VRGNGEA,CHAR,000001,000000,Show activity
QPERMIT,CHAR,000001,000000,Approval Required
QUOTA,CHAR,000001,000000,Product allocation
RELEP,CHAR,000001,000000,Inv.list line items
REVAB,CHAR,000001,000000,RevisionCompleted
RSCOMP,CHAR,000001,000000,Spare part
RU_DEFPROF,CHAR,000001,000000,Standard profile
RU_IL_FIX,CHAR,000001,000000,Fixed activity des.
RU_PR_FIX,CHAR,000001,000000,Fixed forecast des.
SIQUA,CHAR,000001,000000,Quantity
SITXD,CHAR,000001,000000,Text printout
SITXO,CHAR,000001,000000,Text
SNODUNN,CHAR,000001,000000,No dunning
SNODUNN_INTEREST,CHAR,000001,000000,No dunning interest
SPEDR,CHAR,000001,000000,Printing block
STRECKE,CHAR,000001,000000,3rd party order
SUDIA,CHAR,000001,000000,Warning
TVLK_DSFAD,CHAR,000001,000000,Delivery Split Part.
UMKUM,CHAR,000001,000000,Final settlement
VORABKZ,CHAR,000001,000000,Preliminary order
VRGNG,CHAR,000001,000000,Activity
/BEV1/NEDEPFREE,CHAR,000001,000000,Dependent Items Free
WACHK,CHAR,000001,000000,Warranty check
WCONSP,CHAR,000001,000000,Contract
WKSOP,CHAR,000001,000000,SOP plant
WUMABP,CHAR,000001,000000,BV comp. for periods
XBKNG,CHAR,000001,000000,Neg. stocks allowed
XBLGO,CHAR,000001,000000,Authorization check
XFMAT,CHAR,000001,000000,Missing part
XFVRS,CHAR,000001,000000,Production versions
XGLGMG,CHAR,000001,000000,Tied Empties Stock
XHIDE_SM,CHAR,000001,000000,Hide flow type
XIKPF,CHAR,000001,000000,Ind. Phys. inv. doc.
XMKPF,CHAR,000001,000000,Material Doc. Ind.
XMKUKK,CHAR,000001,000000,Cust.Consig. Transf.
XMSLBU,CHAR,000001,000000,SC Stock in Transfer
XMSPRL,CHAR,000001,000000,Project stock
XMSPRQ,CHAR,000001,000000,Project in QI
XMSPRS,CHAR,000001,000000,Project blocked
XOARC,CHAR,000001,000000,Store
XRESS,CHAR,000001,000000,Storage Resource
XRKPF,CHAR,000001,000000,Ind. reserv. doc.
