TableName,FieldName,FieldPosition,IsKey,DataElement,DataType,Length,Decimals,TextLabel
ZSNAPF80CASHHIST,MANDT,0,X,,clnt,3,0,abap.clnt (3)
ZSNAPF80CASHHIST,COMPANYCODE,1,X,,char,4,0,abap.char (4)
ZSNAPF80CASHHIST,FISCALYEAR,2,X,,numc,4,0,abap.numc (4)
ZSNAPF80CASHHIST,ACCOUNTINGDOCUMENT,3,X,,char,10,0,abap.char (10)
ZSNAPF80CASHHIST,ACCOUNTINGDOCUMENTITEM,4,X,,numc,3,0,abap.numc (3)
ZSNAPF80CASHHIST,ENTRYCOUNTER,5,X,,int4,0,0,abap.int4
ZSNAPF80CASHHIST,CLEARINGDATE,6,,,dats,8,0,abap.dats (8)
ZSNAPF80CASHHIST,CLEARINGACCOUNTINGDOCUMENT,7,,,char,10,0,abap.char (10)
ZSNAPF80CASHHIST,FINANCIALACCOUNTTYPE,8,,,char,1,0,abap.char (1)
ZSNAPF80CASHHIST,RESETFLAG,9,,,char,1,0,abap.char (1)
ZSNAPF80CASHHIST,MOSTRECENTFLAG,10,,,char,1,0,abap.char (1)
/CPD/PLN_SKILTAG,SKILLTAG_DESC,5,,,STRG,0,0,
FCLM_BAM_HIERDT,QUERY_STRING,7,,,STRG,0,0,
CRMS4D_SERV_I,CLIENT,3,X,MANDT,CLNT,3,0,Client
CRMS4D_SERV_I,OBJTYPE_H,4,X,CRMT_SUBOBJECT_CATEGORY_DB,CHAR,10,0,Business Trans. Cat.
CRMS4D_SERV_I,OBJECT_ID,5,X,CRMT_OBJECT_ID_DB,CHAR,10,0,Transaction ID
CRMS4D_SERV_I,NUMBER_INT,6,X,CRMS4_NUMBER_INT,NUMC,6,0,Item Number in Document
CRMS4D_SERV_I,AC_OBJECT_TYPE,8,,CRMT_AC_OBJECT_TYPE,CHAR,2,0,Sett.Acc.Assgmnt Object Type
CRMS4D_SERV_I,AC_ASSIGNMENT,9,,CRMT_AC_ASSIGN,CHAR,50,0,Settlement Account Assignment
CRMS4D_SERV_I,AC_PERCENTAGE,10,,CRMT_AC_COST_PERCENTAGE,DEC,5,2,Percentage of Costs
CRMS4D_SERV_I,APRV_ACTIVATED,12,,CRMT_BOOLEAN,CHAR,1,0,Flag
CRMS4D_SERV_I,APRV_PROCEDURE,13,,CRMT_APPROVAL_PROCEDURE,CHAR,8,0,Approval Procedure
CRMS4D_SERV_I,CHANGE_ALLOWED,14,,CRMT_BOOLEAN,CHAR,1,0,Flag
CRMS4D_SERV_I,PERIOD_DATE,16,,CRMT_PERIOD_DATE,DEC,15,0,Period date
CRMS4D_SERV_I,RULE_PERIOD_DATE,17,,CRMT_RULE_PERIOD_DATE,RAW,16,0,Rule period date
CRMS4D_SERV_I,SETTL_FROM,18,,CRMT_SETTL_FROM,DEC,15,0,Settlement start
CRMS4D_SERV_I,RULE_SETTL_FROM,19,,CRMT_RULE_SETTL_FROM,RAW,16,0,Determine SettlePer
CRMS4D_SERV_I,SETTL_TO,20,,CRMT_SETTL_TO,DEC,15,0,Settlement End
CRMS4D_SERV_I,RULE_SETTL_TO,21,,CRMT_RULE_SETTL_TO,RAW,16,0,OriginSettlementEnd
CRMS4D_SERV_I,BILL_DATE,22,,CRMS4_BILL_DATE_TSTMP,DEC,15,0,Billing Date
CRMS4D_SERV_I,RULE_BILL_DATE,23,,CRMT_RULE_BILL_DATE,RAW,16,0,Rule billing date
CRMS4D_SERV_I,INVCR_DATE,24,,CRMS4_INVCR_DATE_TSTMP,DEC,15,0,Billing Date
CRMS4D_SERV_I,RULE_INVCR_DATE,25,,CRMT_RULE_INVCR_DATE,RAW,16,0,RuleBillDocCrtDate
CRMS4D_SERV_I,VALUE_DATE,26,,CRMT_VALUE_DATE,DEC,15,0,Fixed Value Date
CRMS4D_SERV_I,RULE_VALUE_DATE,27,,CRMT_RULE_VALUE_DATE,RAW,16,0,Fixed Val. Date Rule
CRMS4D_SERV_I,BILLING_TIMEZONE,28,,CRMT_BILLING_TIMEZONE,CHAR,6,0,Time zone
CRMS4D_SERV_I,BILLING_BLOCK,29,,CRMT_BUS_BILL_BLOCK_REASON,CHAR,2,0,Billing Block Reason
CRMS4D_SERV_I,SEPA_ON,30,,CRMT_SEPA_ON,CHAR,1,0,SEPA Relevant
CRMS4D_SERV_I,MANDATE_ID,31,,CRMT_MANDATE_ID,CHAR,35,0,Mandate ID
CRMS4D_SERV_I,KIND_PERIOD_DATE,32,,TIMENAEVEN,CHAR,12,0,Date type
CRMS4D_SERV_I,KIND_SETTL_FROM,33,,TIMENAEVEN,CHAR,12,0,Date type
CRMS4D_SERV_I,KIND_SETTL_TO,34,,TIMENAEVEN,CHAR,12,0,Date type
CRMS4D_SERV_I,KIND_BILL_DATE,35,,TIMENAEVEN,CHAR,12,0,Date type
CRMS4D_SERV_I,KIND_INVCR_DATE,36,,TIMENAEVEN,CHAR,12,0,Date type
CRMS4D_SERV_I,KIND_VALUE_DATE,37,,TIMENAEVEN,CHAR,12,0,Date type
CRMS4D_SERV_I,KIND_START_DATE,38,,TIMENAEVEN,CHAR,12,0,Date type
CRMS4D_SERV_I,KIND_END_DATE,39,,TIMENAEVEN,CHAR,12,0,Date type
CRMS4D_SERV_I,KIND_DATE_FROM,40,,TIMENAEVEN,CHAR,12,0,Date type
CRMS4D_SERV_I,KIND_DATE_TO,41,,TIMENAEVEN,CHAR,12,0,Date type
CRMS4D_SERV_I,CONTRACT_ACCOUNT,42,,VKONT_KK,CHAR,12,0,Contract Account
CRMS4D_SERV_I,DIP_PROFILE,43,,AD01PROFNR,CHAR,8,0,DIP Profile
CRMS4D_SERV_I,RESULTS_ANALYSIS_KEY,44,,ABGR_SCHL_APPL,CHAR,6,0,Results Analysis Key
CRMS4D_SERV_I,BILLING_RELEVANCE,45,,CRMS4_BILLING_RELEVANCE,CHAR,1,0,Billing Relevance
CRMS4D_SERV_I,CHKL_STEP_GROUP,47,,CHKLST_STEP_GRP_GUID,CHAR,32,0,Checklist Step Group GUID
CRMS4D_SERV_I,CHKL_STEP_ID,48,,CHKLST_STEP_ID,CHAR,8,0,Checklist Step ID
CRMS4D_SERV_I,CHKL_STEP_NO,49,,CHKLST_STEP_NO,NUMC,10,0,Checklist Step Number
CRMS4D_SERV_I,CHKL_OPTION_ID,50,,CHKLST_OPTION_ID,CHAR,8,0,Checklist Option ID
CRMS4D_SERV_I,CHKL_PREV_GROUP,51,,CHKLST_PREV_GRP_GUID,CHAR,32,0,Checklist Previous Group GUID
CRMS4D_SERV_I,CHKL_PREV_NO,52,,CHKLST_PREV_GRP_NO,NUMC,10,0,Checklist Previous Group Number
CRMS4D_SERV_I,CHKL_TRIGGER_ID,53,,CHKLST_TRIGGER_ID,CHAR,15,0,Checklist Trigger ID
CRMS4D_SERV_I,GI_QUANTITY,55,,CRMS4_GI_QUANTITY,QUAN,15,3,Goods Issue Quantity
CRMS4D_SERV_I,GI_VALUE,56,,CRMS4_GI_VALUE,CURR,19,2,Goods Issue Value
CRMS4D_SERV_I,ORDERED_QUANTITY,57,,CRMS4_ORD_QUANTITY,QUAN,15,3,Ordered Quantity
CRMS4D_SERV_I,BILLED_VALUE,58,,CRMS4_INV_VALUE,CURR,19,2,Invoice Value
CRMS4D_SERV_I,BILLED_QUANTITY,59,,CRMS4_INV_QUANTITY,QUAN,15,3,Invoiced Quantity
CRMS4D_SERV_I,DLV_QUANTITY,60,,CRMS4_DLV_QUANTITY,QUAN,15,3,Delivered Quantity
CRMS4D_SERV_I,RELEASED_QUANTITY,61,,CRMS4_RLSD_QUANTITY,QUAN,15,3,Released Quantity
CRMS4D_SERV_I,RELEASED_VALUE,62,,CRMS4_RLSD_VALUE,CURR,19,2,Released Value
CRMS4D_SERV_I,VALID_FROM,65,,CRMT_VALID_FROM,DEC,15,0,Valid from
CRMS4D_SERV_I,VALID_TO,66,,CRMT_VALID_TO,DEC,15,0,Valid to
CRMS4D_SERV_I,QUOT_START,67,,CRMS4_QUOT_START_DATE,DEC,15,0,Quot: Valid from Date
CRMS4D_SERV_I,QUOT_END,68,,CRMS4_QUOT_END_DATE,DEC,15,0,Quot: Valid to Date
CRMS4D_SERV_I,SRV_CUST_BEG,69,,CRMS4_SRV_CUST_BEG_TSTMP,DEC,15,0,Service Request Start Date
CRMS4D_SERV_I,SRV_CUST_END,70,,CRMS4_SRV_CUST_END_TSTMP,DEC,15,0,Service Request Due Date
CRMS4D_SERV_I,SRQ_WORK_DURA,71,,CRMS4_SRQ_WORK_DURA,DEC,8,2,Work Duration of Service Transaction
CRMS4D_SERV_I,SRQ_WORK_UNIT,72,,CRMS4_SRQ_WORK_UNIT,CHAR,2,0,Work Duration Unit of Service Transactn
CRMS4D_SERV_I,SRQ_TOT_DURA,73,,CRMS4_SRQ_TOT_DURA,DEC,8,2,Total Duration of Service Transaction
CRMS4D_SERV_I,SRQ_TOT_UNIT,74,,CRMS4_SRQ_TOT_UNIT,CHAR,2,0,Total Duration Unit of Service Transactn
CRMS4D_SERV_I,CONTSTART,75,,CRMS4_CONT_START,DEC,15,0,Contract Start Date
CRMS4D_SERV_I,CONTEND,76,,CRMS4_CONT_END,DEC,15,0,Contract End Date
CRMS4D_SERV_I,CONT_START_TS,77,,CRMS4_CONT_START_TS_DATE,DEC,15,0,Start of Contract Time Slice
CRMS4D_SERV_I,CONT_END_TS,78,,CRMS4_CONT_END_TS_DATE,DEC,15,0,End of Contract Time Slice
CRMS4D_SERV_I,SRV_RFIRST,79,,CRMS4_SRV_RFIRST,DEC,15,0,First Response By
CRMS4D_SERV_I,SRV_RREADY,80,,CRMS4_SRV_RREADY,DEC,15,0,Due By
CRMS4D_SERV_I,SRV_CLOSE,81,,CRMS4_SRV_CLOSE,DEC,15,0,Closing Date
CRMS4D_SERV_I,AUTO_RENEW_PERIOD,82,,CRMS4_AUTO_RENEW_PERIOD_DURA,QUAN,13,0,Auto Renewal Period
